
2022-05-27 at 18:33:10 | INFO | Init datastore ....
2022-05-27 at 18:33:10 | INFO | Capricornus Starting ....
2022-05-27 at 18:33:10 | INFO | API cache cleared ....
2022-05-27 at 18:33:11 | INFO | Capricornus Started
2022-05-27 at 18:59:03 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:59:03 | INFO | API cache does not exists ....
2022-05-27 at 18:59:05 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:59:05 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:59:05 | INFO | Capricornus Start Up ....
2022-05-27 at 18:59:05 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:59:05 | INFO | Init datastore ....
2022-05-27 at 18:59:06 | INFO | Capricornus Starting ....
2022-05-27 at 18:59:06 | INFO | API cache cleared ....
2022-05-27 at 18:59:06 | INFO | Capricornus Started
2022-05-27 at 19:01:50 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:01:50 | INFO | API cache does not exists ....
2022-05-27 at 19:01:52 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:01:52 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:01:52 | INFO | Capricornus Start Up ....
2022-05-27 at 19:01:52 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:01:52 | INFO | Init datastore ....
2022-05-27 at 19:01:53 | INFO | Capricornus Starting ....
2022-05-27 at 19:01:53 | INFO | API cache cleared ....
2022-05-27 at 19:01:53 | INFO | Capricornus Started
2022-05-27 at 19:05:13 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:05:13 | INFO | API cache does not exists ....
2022-05-27 at 19:05:15 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:05:15 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:05:15 | INFO | Capricornus Start Up ....
2022-05-27 at 19:05:15 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:05:15 | INFO | Init datastore ....
2022-05-27 at 19:05:16 | INFO | Capricornus Starting ....
2022-05-27 at 19:05:16 | INFO | API cache cleared ....
2022-05-27 at 19:05:17 | INFO | Capricornus Started
2022-05-27 at 19:12:13 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:12:13 | INFO | API cache does not exists ....
2022-05-27 at 19:12:15 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:12:15 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:12:15 | INFO | Capricornus Start Up ....
2022-05-27 at 19:12:15 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:12:15 | INFO | Init datastore ....
2022-05-27 at 19:12:15 | INFO | Capricornus Starting ....
2022-05-27 at 19:12:15 | INFO | API cache cleared ....
2022-05-27 at 19:12:16 | INFO | Capricornus Started
2022-05-27 at 19:17:33 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:17:33 | INFO | API cache does not exists ....
2022-05-27 at 19:17:35 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:17:35 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:17:35 | INFO | Capricornus Start Up ....
2022-05-27 at 19:17:35 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:17:35 | INFO | Init datastore ....
2022-05-27 at 19:17:35 | INFO | Capricornus Starting ....
2022-05-27 at 19:17:35 | INFO | API cache cleared ....
2022-05-27 at 19:17:36 | INFO | Capricornus Started
2022-05-27 at 19:28:02 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:28:02 | INFO | API cache does not exists ....
2022-05-27 at 19:28:03 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:28:03 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:28:04 | INFO | Capricornus Start Up ....
2022-05-27 at 19:28:04 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:28:04 | INFO | Init datastore ....
2022-05-27 at 19:28:04 | INFO | Capricornus Starting ....
2022-05-27 at 19:28:04 | INFO | API cache cleared ....
2022-05-27 at 19:28:04 | INFO | Capricornus Started
2022-05-27 at 19:29:35 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:29:35 | INFO | API cache does not exists ....
2022-05-27 at 19:29:36 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:29:36 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:29:36 | INFO | Capricornus Start Up ....
2022-05-27 at 19:29:36 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:29:36 | INFO | Init datastore ....
2022-05-27 at 19:29:37 | INFO | Capricornus Starting ....
2022-05-27 at 19:29:37 | INFO | API cache cleared ....
2022-05-27 at 19:29:37 | INFO | Capricornus Started
2022-05-27 at 19:31:02 | INFO | Capricornus Shutting Down ....
2022-05-27 at 19:31:02 | INFO | API cache does not exists ....
2022-05-27 at 19:31:03 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:31:03 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 19:31:03 | INFO | Capricornus Start Up ....
2022-05-27 at 19:31:03 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 19:31:04 | INFO | Init datastore ....
2022-05-27 at 19:31:04 | INFO | Capricornus Starting ....
2022-05-27 at 19:31:04 | INFO | API cache cleared ....
2022-05-27 at 19:31:05 | INFO | Capricornus Started
2022-05-27 at 20:02:23 | INFO | Capricornus Shutting Down ....
2022-05-27 at 20:02:23 | INFO | API cache does not exists ....
2022-05-27 at 20:02:25 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:02:25 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:02:25 | INFO | Capricornus Start Up ....
2022-05-27 at 20:02:25 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 20:02:25 | INFO | Init datastore ....
2022-05-27 at 20:02:26 | INFO | Capricornus Starting ....
2022-05-27 at 20:02:26 | INFO | API cache cleared ....
2022-05-27 at 20:02:26 | INFO | Capricornus Started
2022-05-27 at 20:06:24 | INFO | Capricornus Shutting Down ....
2022-05-27 at 20:06:24 | INFO | API cache does not exists ....
2022-05-27 at 20:06:26 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:06:26 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:06:26 | INFO | Capricornus Start Up ....
2022-05-27 at 20:06:26 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 20:06:26 | INFO | Init datastore ....
2022-05-27 at 20:06:27 | INFO | Capricornus Starting ....
2022-05-27 at 20:06:27 | INFO | API cache cleared ....
2022-05-27 at 20:06:27 | INFO | Capricornus Started
2022-05-27 at 20:09:41 | INFO | Capricornus Shutting Down ....
2022-05-27 at 20:09:41 | INFO | API cache does not exists ....
2022-05-27 at 20:09:44 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:09:44 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:09:44 | INFO | Capricornus Start Up ....
2022-05-27 at 20:09:44 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 20:09:44 | INFO | Init datastore ....
2022-05-27 at 20:09:44 | INFO | Capricornus Starting ....
2022-05-27 at 20:09:44 | INFO | API cache cleared ....
2022-05-27 at 20:09:44 | INFO | Capricornus Started
2022-05-27 at 20:11:08 | INFO | Capricornus Shutting Down ....
